delete1,delete2,delete3,State,County
Alabama,Walker, County,AL,Walker County
Alabama,Franklin, County,AL,Franklin County
Alabama,Marion, County,AL,Marion County
Alabama,Winston, County,AL,Winston County
Arizona,Mohave, County,AZ,Mohave County
Arkansas,Sharp, County,AK,Sharp County
Arkansas,Lawrence, County,AK,Lawrence County
California,Lake, County,CA,Lake County
California,Plumas, County,CA,Plumas County
Colorado,Crowley, County,CO,Crowley County
Georgia,Murray, County,GA,Murray County
Georgia,Towns, County,GA,Towns County
Georgia,Fannin, County,GA,Fannin County
Georgia,Haralson, County,GA,Haralson County
Illinois,Hardin, County,IL,Hardin County
Indiana,Crawford, County,IN,Crawford County
Indiana,Starke, County,IN,Starke County
Indiana,Switzerland, County,IN,Switzerland County
Indiana,Scott, County,IN,Scott County
Indiana,Washington, County,IN,Washington County
Indiana,Ripley, County,IN,Ripley County
Indiana,Dearborn, County,IN,Dearborn County
Indiana,Jennings, County,IN,Jennings County
Indiana,Fayette, County,IN,Fayette County
Indiana,Henry, County,IN,Henry County
Kansas,Rawlins, County,KS,Rawlins County
Kansas,Woodson, County,KS,Woodson County
Kansas,Allen, County,KS,Allen County
Kansas,Wilson, County,KS,Wilson County
Kentucky,Hickman, County,KY,Hickman County
Kentucky,Menifee, County,KY,Menifee County
Kentucky,Breckinridge, County,KY,Breckinridge County
Kentucky,Lincoln, County,KY,Lincoln County
Kentucky,Grayson, County,KY,Grayson County
Kentucky,Knott, County,KY,Knott County
Kentucky,Perry, County,KY,Perry County
Kentucky,Clay, County,KY,Clay County
Kentucky,Laurel, County,KY,Laurel County
Kentucky,Leslie, County,KY,Leslie County
Kentucky,Adair, County,KY,Adair County
Kentucky,Russell, County,KY,Russell County
Kentucky,Wayne, County,KY,Wayne County
Kentucky,Cumberland, County,KY,Cumberland County
Kentucky,Allen, County,KY,Allen County
Kentucky,Clinton, County,KY,Clinton County
Kentucky,Monroe, County,KY,Monroe County
Kentucky,Green, County,KY,Green County
Kentucky,Edmonson, County,KY,Edmonson County
Kentucky,Mercer, County,KY,Mercer County
Kentucky,Boyle, County,KY,Boyle County
Kentucky,Casey, County,KY,Casey County
Kentucky,Taylor, County,KY,Taylor County
Kentucky,Powell, County,KY,Powell County
Kentucky,Magoffin, County,KY,Magoffin County
Kentucky,Garrard, County,KY,Garrard County
Kentucky,Lee, County,KY,Lee County
Kentucky,Breathitt, County,KY,Breathitt County
Kentucky,Owsley, County,KY,Owsley County
Kentucky,Rockcastle, County,KY,Rockcastle County
Kentucky,Estill, County,KY,Estill County
Kentucky,Wolfe, County,KY,Wolfe County
Kentucky,Knox, County,KY,Knox County
Kentucky,Harlan, County,KY,Harlan County
Kentucky,Whitley, County,KY,Whitley County
Kentucky,McCreary, County,KY,McCreary County
Kentucky,Bell, County,KY,Bell County
Kentucky,Letcher, County,KY,Letcher County
Kentucky,Johnson, County,KY,Johnson County
Kentucky,Martin, County,KY,Martin County
Kentucky,Floyd, County,KY,Floyd County
Kentucky,Pike, County,KY,Pike County
Kentucky,Gallatin, County,KY,Gallatin County
Kentucky,Greenup, County,KY,Greenup County
Kentucky,Carroll, County,KY,Carroll County
Kentucky,Campbell, County,KY,Campbell County
Kentucky,Grant, County,KY,Grant County
Kentucky,Lewis, County,KY,Lewis County
Kentucky,Carter, County,KY,Carter County
Kentucky,Bath, County,KY,Bath County
Kentucky,Robertson, County,KY,Robertson County
Kentucky,Elliott, County,KY,Elliott County
Kentucky,Lawrence, County,KY,Lawrence County
Kentucky,Boyd, County,KY,Boyd County
Maine,Somerset, County,ME,Somerset County
Maine,Washington, County,ME,Washington County
Maine,Kennebec, County,ME,Kennebec County
Maine,Waldo, County,ME,Waldo County
Michigan,Kalkaska, County,MI,Kalkaska County
Michigan,Alcona, County,MI,Alcona County
Michigan,Crawford, County,MI,Crawford County
Michigan,Oscoda, County,MI,Oscoda County
Michigan,Cheboygan, County,MI,Cheboygan County
Michigan,Presque Isle, County,MI,Presque Isle County
Michigan,Montmorency, County,MI,Montmorency County
Michigan,Roscommon, County,MI,Roscommon County
Michigan,Lake, County,MI,Lake County
Michigan,Clare, County,MI,Clare County
Michigan,Ogemaw, County,MI,Ogemaw County
Mississippi,Tishomingo, County,MO,Tishomingo County
Missouri,Bates, County,MO,Bates County
Missouri,Cedar, County,MO,Cedar County
Missouri,St. Francois, County,MO,St. Francois County
Missouri,Hickory, County,MO,Hickory County
Missouri,Wayne, County,MO,Wayne County
Missouri,Ozark, County,MO,Ozark County
Missouri,Wright, County,MO,Wright County
Missouri,Iron, County,MO,Iron County
Missouri,Madison, County,MO,Madison County
Missouri,Reynolds, County,MO,Reynolds County
Missouri,Ripley, County,MO,Ripley County
Missouri,Crawford, County,MO,Crawford County
Missouri,Washington, County,MO,Washington County
Montana,Mineral, County,MT,Mineral County
Montana,Treasure, County,MT,Treasure County
Nevada,Esmeralda, County,NV,Esmeralda County
Nevada,Storey, County,NV,Storey County
North Carolina,Wilkes, County,NC,Wilkes County
North Carolina,Graham, County,NC,Graham County
North Carolina,Cherokee, County,NC,Cherokee County
North Carolina,Clay, County,NC,Clay County
North Carolina,Burke, County,NC,Burke County
Ohio,Brown, County,OH,Brown County
Ohio,Adams, County,OH,Adams County
Ohio,Scioto, County,OH,Scioto County
Ohio,Clinton, County,OH,Clinton County
Ohio,Highland, County,OH,Highland County
Ohio,Pike, County,OH,Pike County
Ohio,Gallia, County,OH,Gallia County
Ohio,Athens, County,OH,Athens County
Ohio,Vinton, County,OH,Vinton County
Ohio,Jackson, County,OH,Jackson County
Ohio,Meigs, County,OH,Meigs County
Oklahoma,Cimarron, County,OK,Cimarron County
Oklahoma,Jefferson, County,OK,Jefferson County
Pennsylvania,Crawford, County,PA,Crawford County
Pennsylvania,Luzerne, County,PA,Luzerne County
Pennsylvania,Cambria, County,PA,Cambria County
Tennessee,Lake, County,TN,Lake County
Tennessee,Benton, County,TN,Benton County
Tennessee,Hardin, County,TN,Hardin County
Tennessee,McNairy, County,TN,McNairy County
Tennessee,Humphreys, County,TN,Humphreys County
Tennessee,Perry, County,TN,Perry County
Tennessee,Lewis, County,TN,Lewis County
Tennessee,Wayne, County,TN,Wayne County
Tennessee,Lawrence, County,TN,Lawrence County
Tennessee,Hawkins, County,TN,Hawkins County
Tennessee,Fentress, County,TN,Fentress County
Tennessee,Overton, County,TN,Overton County
Tennessee,Carter, County,TN,Carter County
Tennessee,Washington, County,TN,Washington County
Tennessee,Smith, County,TN,Smith County
Tennessee,Grainger, County,TN,Grainger County
Tennessee,Greene, County,TN,Greene County
Tennessee,Morgan, County,TN,Morgan County
Tennessee,Hamblen, County,TN,Hamblen County
Tennessee,Bledsoe, County,TN,Bledsoe County
Tennessee,Meigs, County,TN,Meigs County
Tennessee,DeKalb, County,TN,DeKalb County
Tennessee,Cannon, County,TN,Cannon County
Tennessee,Warren, County,TN,Warren County
Tennessee,Rhea, County,TN,Rhea County
Tennessee,White, County,TN,White County
Tennessee,Jefferson, County,TN,Jefferson County
Tennessee,Cocke, County,TN,Cocke County
Tennessee,Roane, County,TN,Roane County
Tennessee,Polk, County,TN,Polk County
Tennessee,Scott, County,TN,Scott County
Tennessee,Campbell, County,TN,Campbell County
Tennessee,Union, County,TN,Union County
Tennessee,Pickett, County,TN,Pickett County
Tennessee,Clay, County,TN,Clay County
Tennessee,Jackson, County,TN,Jackson County
Tennessee,Macon, County,TN,Macon County
Tennessee,Claiborne, County,TN,Claiborne County
Tennessee,Hancock, County,TN,Hancock County
Tennessee,Sullivan, County,TN,Sullivan County
Tennessee,Johnson, County,TN,Johnson County
Texas,Foard, County,TX,Foard County
Utah,Carbon, County,UT,Carbon County
Utah,Beaver, County,UT,Beaver County
Utah,Emery, County,UT,Emery County
Vermont,Essex, County,VT,Essex County
Vermont,Windham, County,VT,Windham County
Virginia,Lee, County,VA,Lee County
Virginia,Buchanan, County,VA,Buchanan County
Virginia,Tazewell, County,VA,Tazewell County
Virginia,Dickenson, County,VA,Dickenson County
Virginia,Wise, County,VA,Wise County
Virginia,Wythe, County,VA,Wythe County
Virginia,Russell, County,VA,Russell County
Virginia,Patrick, County,VA,Patrick County
West Virginia,Logan, County,WV,Logan County
West Virginia,Raleigh, County,WV,Raleigh County
West Virginia,Mercer, County,WV,Mercer County
West Virginia,Mingo, County,WV,Mingo County
West Virginia,Wyoming, County,WV,Wyoming County
West Virginia,McDowell, County,WV,McDowell County
West Virginia,Summers, County,WV,Summers County
West Virginia,Monroe, County,WV,Monroe County
West Virginia,Fayette, County,WV,Fayette County
West Virginia,Boone, County,WV,Boone County
West Virginia,Hancock, County,WV,Hancock County
West Virginia,Brooke, County,WV,Brooke County
West Virginia,Marshall, County,WV,Marshall County
West Virginia,Calhoun, County,WV,Calhoun County
West Virginia,Mason, County,WV,Mason County
West Virginia,Roane, County,WV,Roane County
West Virginia,Braxton, County,WV,Braxton County
West Virginia,Clay, County,WV,Clay County
West Virginia,Wayne, County,WV,Wayne County
West Virginia,Kanawha, County,WV,Kanawha County
West Virginia,Cabell, County,WV,Cabell County
West Virginia,Lincoln, County,WV,Lincoln County
West Virginia,Tyler, County,WV,Tyler County
West Virginia,Taylor, County,WV,Taylor County
West Virginia,Webster, County,WV,Webster County
West Virginia,Nicholas, County,WV,Nicholas County
West Virginia,Morgan, County,WV,Morgan County
West Virginia,Berkeley, County,WV,Berkeley County
